tail,head,volume,cost
94,640,471.02,0.0345068
95,641,2752.81,0.0345068
96,642,587.41,0.0345068
97,643,6304.83,0.0345068
98,644,8436.92,0.0345068
99,645,4527.16,0.0345068
100,646,3592.63,0.0345068
101,647,3144.71,0.0345068
102,648,3681.72,0.0345068
103,649,1743.13,0.0345068
104,650,3100.18,0.0345068
105,651,983.63,0.0345068
106,652,3859.91,0.0345068
107,653,3630.97,0.0345068
108,654,3769.1,0.0345068
109,655,3028.1,0.0345068
110,656,5660.6,0.0345068
111,657,5463.48,0.0345068
112,658,3659.23,0.0345068
113,659,3784.73,0.0345068
114,660,2147.45,0.0345068
115,661,4043.61,0.0345068
116,662,2374.71,0.0345068
117,663,824.08,0.0345068
118,664,4286.07,0.0345068
119,665,1278.87,0.0345068
120,666,1507.37,0.0345068
121,667,3785.82,0.0345068
122,668,1943.73,0.0345068
123,669,4281.93,0.0345068
124,670,1800.85,0.0345068
125,671,2224.15,0.0345068
126,672,507.29,0.0345068
127,673,2137.82,0.0345068
128,674,864.15,0.0345068
129,675,3848.75,0.0345068
130,676,2993.41,0.0345068
131,677,5005.8,0.0345068
132,678,3968.5,0.0345068
133,679,5192.12,0.0345068
134,680,3356.65,0.0345068
135,681,5479.75,0.0345068
136,682,6391.22,0.0345068
137,683,2348.41,0.0345068
138,684,1466.59,0.0345068
139,685,1631.54,0.0345068
140,686,1097.23,0.0345068
141,687,5293.44,0.0345068
142,688,5106.13,0.0345068
143,689,4074.25,0.0345068
144,690,3079.56,0.0345068
145,691,7191.34,0.0345068
146,692,6930.25,0.0345068
147,693,6262.2,0.0345068
148,694,6643.95,0.0345068
149,695,4165.68,0.0345068
150,696,1467.5,0.0345068
151,697,1718.33,0.0345068
152,698,2461.4,0.0345068
153,699,4432.8,0.0345068
154,700,5126.12,0.0345068
155,701,4469.1,0.0345068
156,702,4347.7,0.0345068
157,703,5850.4,0.0345068
158,704,6246.55,0.0345068
159,705,4582.57,0.0345068
160,706,5079.87,0.0345068
161,707,1761.8,0.0345068
162,708,642.7,0.0345068
163,709,417.93,0.0345068
164,710,2482.86,0.0345068
165,711,461.78,0.0345068
166,712,2412.98,0.0345068
167,713,1155.62,0.0345068
168,714,264.04,0.0345068
169,715,559.09,0.0345068
170,716,5259.08,0.0345068
171,717,1094.69,0.0345068
172,718,3031.33,0.0345068
173,719,605.11,0.0345068
174,720,331.34,0.0345068
175,721,1238.69,0.0345068
176,722,808.62,0.0345068
177,723,420.73,0.0345068
178,724,2566.03,0.0345068
179,725,1755.87,0.0345068
180,726,298.39,0.0345068
181,727,646.97,0.0345068
182,728,2277.01,0.0345068
183,729,1200.82,0.0345068
184,730,1465.93,0.0345068
185,731,949.58,0.0345068
186,732,465.52,0.0345068
187,733,939.16,0.0345068
188,734,3028.51,0.0345068
189,735,3603.24,0.0345068
190,736,4935.73,0.0345068
191,737,3814.16,0.0345068
192,738,1246.07,0.0345068
193,739,153.9,0.0345068
194,740,1290.23,0.0345068
195,741,898.9,0.0345068
196,742,726.61,0.0345068
197,743,736.44,0.0345068
198,744,2458.04,0.0345068
199,745,2992.59,0.0345068
200,746,2581.7,0.0345068
201,747,1119.27,0.0345068
202,748,1663.53,0.0345068
203,749,1544.79,0.0345068
204,750,1974.16,0.0345068
205,751,2040.23,0.0345068
206,752,708.4,0.0345068
207,753,2007.85,0.0345068
208,754,1498.44,0.0345068
209,755,4461.61,0.0345068
210,756,6121.12,0.0345068
211,757,2102.28,0.0345068
212,758,502.12,0.0345068
213,759,126.52,0.0345068
214,760,1431.55,0.0345068
215,761,206.38,0.0345068
216,762,1295.57,0.0345068
217,763,1746.9,0.0345068
218,764,1363.28,0.0345068
219,765,4045.68,0.0345068
220,766,4393.47,0.0345068
221,767,2514.07,0.0345068
222,768,2874.95,0.0345068
223,769,857.32,0.0345068
224,770,1427.07,0.0345068
225,771,1073.85,0.0345068
226,772,2127.05,0.0345068
227,773,1039.26,0.0345068
228,774,2222.68,0.0345068
229,775,2353,0.0345068
230,776,3012.15,0.0345068
231,777,3206.53,0.0345068
232,778,3918.54,0.0345068
233,779,4034.17,0.0345068
234,780,946.65,0.0345068
235,781,242.1,0.0345068
236,782,372.76,0.0345068
237,783,818.47,0.0345068
238,784,302.22,0.0345068
239,785,536.33,0.0345068
240,786,339.32,0.0345068
241,787,1210.35,0.0345068
242,788,365.56,0.0345068
243,789,617.43,0.0345068
244,790,1914.59,0.0345068
245,791,907.96,0.0345068
246,792,1198.45,0.0345068
247,793,1054.25,0.0345068
248,794,377.99,0.0345068
249,795,2428.98,0.0345068
250,796,614.46,0.0345068
251,797,284.22,0.0345068
252,798,661.43,0.0345068
253,799,1412.14,0.0345068
254,800,931.13,0.0345068
255,801,303.36,0.0345068
256,802,488.35,0.0345068
257,803,1509.3,0.0345068
258,804,1721.65,0.0345068
259,805,3051.78,0.0345068
260,806,1552.8,0.0345068
261,807,1279.65,0.0345068
262,808,1412.71,0.0345068
263,809,952.35,0.0345068
264,810,343.12,0.0345068
265,811,127.68,0.0345068
266,812,136.32,0.0345068
267,813,3204.09,0.0345068
268,814,1973.38,0.0345068
269,815,1385.02,0.0345068
270,816,1044.27,0.0345068
271,817,470.37,0.0345068
272,818,579.33,0.0345068
273,819,1450.96,0.0345068
274,820,198.1,0.0345068
275,821,1335.31,0.0345068
276,822,547.15,0.0345068
277,823,1442.35,0.0345068
278,824,1129.8,0.0345068
279,825,1357.68,0.0345068
280,826,677.39,0.0345068
281,827,358.8,0.0345068
282,828,200.75,0.0345068
283,829,2015.68,0.0345068
284,830,463.53,0.0345068
285,831,666.98,0.0345068
286,832,302.77,0.0345068
287,833,3515.18,0.0345068
288,834,5301.06,0.0345068
289,835,1088.32,0.0345068
290,836,854.68,0.0345068
291,837,816.03,0.0345068
292,838,725.78,0.0345068
293,839,623.8,0.0345068
294,840,686.65,0.0345068
295,841,841.94,0.0345068
296,842,1250.26,0.0345068
297,843,914.27,0.0345068
298,844,503.65,0.0345068
299,845,916.1,0.0345068
300,846,408.64,0.0345068
301,847,517.52,0.0345068
302,848,245.97,0.0345068
303,849,1596.83,0.0345068
304,850,655.43,0.0345068
305,851,1378.39,0.0345068
306,852,212.46,0.0345068
307,853,339.77,0.0345068
308,854,334.28,0.0345068
309,855,934.64,0.0345068
310,856,101.96,0.0345068
311,857,105.75,0.0345068
312,858,517.31,0.0345068
313,859,223.82,0.0345068
314,860,498.87,0.0345068
315,861,85.96,0.0345068
316,862,747.15,0.0345068
317,863,181.85,0.0345068
318,864,1006.29,0.0345068
319,865,993.22,0.0345068
320,866,2892.83,0.0345068
321,867,391.81,0.0345068
322,868,563.96,0.0345068
323,869,150.39,0.0345068
324,870,202.41,0.0345068
325,871,104.28,0.0345068
326,872,123.6,0.0345068
327,873,61.68,0.0345068
328,874,565.55,0.0345068
329,875,664.71,0.0345068
330,876,240.89,0.0345068
331,877,1431.9,0.0345068
332,878,893.26,0.0345068
333,879,81.21,0.0345068
334,880,176.12,0.0345068
335,881,572.12,0.0345068
336,882,57.25,0.0345068
337,883,72.06,0.0345068
338,884,332.98,0.0345068
339,885,108.84,0.0345068
340,886,595.99,0.0345068
341,887,90.26,0.0345068
342,888,283.7,0.0345068
343,889,134.72,0.0345068
344,890,143.51,0.0345068
345,891,559.09,0.0345068
346,892,2350.05,0.0345068
347,893,336.22,0.0345068
348,894,373.53,0.0345068
349,895,147.2,0.0345068
350,896,220.11,0.0345068
351,897,1808.79,0.0345068
352,898,635.16,0.0345068
353,899,308.99,0.0345068
354,900,244.47,0.0345068
355,901,214.17,0.0345068
356,902,13757.5,0.0345068
357,903,11567.1,0.0345068
358,904,4112.35,0.0345068
359,905,5339.23,0.0345068
360,906,4187.49,0.0345068
361,907,951.47,0.0345068
362,908,2617.38,0.0345068
363,909,557.52,0.0345068
364,910,512.17,0.0345068
365,911,878.67,0.0345068
366,912,187.5,0.0345068
367,913,2492.67,0.0345068
368,914,1177.93,0.0345068
369,915,309.67,0.0345068
370,916,606.67,0.0345068
371,917,586.49,0.0345068
372,918,637.18,0.0345068
373,919,1254.53,0.0345068
374,920,1520.75,0.0345068
375,921,921.25,0.0345068
376,922,5561.29,0.0345068
377,923,1661,0.0345068
378,924,189,0.0345068
379,925,1280,0.0345068
380,926,484,0.0345068
381,927,1903,0.0345068
382,928,1555,0.0345068
383,929,724,0.0345068
384,930,0,0.0345068
385,931,157,0.0345068
386,932,22,0.0345068
387,933,5837,0.0345068
388,390,1511.7,11.6298
388,391,1959.43,6.3224
388,708,218.11,2.97261
388,802,274.86,4.9573
389,390,199.21,4.52905
389,801,125.53,9.8804
389,914,269.44,4.09216
390,388,1446.21,11.6204
390,389,131.7,4.52822
390,925,1413,7.24002
391,388,1609,6.27435
391,392,2914.31,4.70663
391,709,627.08,0.580925
391,715,511.6,6.54946
392,391,1903.72,4.45775
392,393,4023.01,3.32569
392,713,1161.33,1.40348
392,717,662.7,3.1304
393,392,2868.88,2.83069
393,394,5386.73,4.23556
393,712,2396.08,2.8147
393,716,3038.24,2.0538
394,393,3286.57,3.64023
394,395,4806.2,2.82022
394,584,558.959,6.32526
394,601,666.98,2.60369
395,394,2710.45,2.54166
395,396,5624.92,4.66123
395,584,1068.02,4.04
395,600,2179.06,1.42384
396,395,2514.34,3.8193
396,397,5624.92,2.69506
397,396,2514.34,2.20836
397,398,7113.88,3.8977
397,588,1774.12,3.17544
397,604,3836.05,1.83747
398,397,4863.6,2.76402
398,399,7003.44,1.16083
398,400,3372.94,2.21118
398,403,7319.33,3.49386
399,398,4331.78,0.805964
399,537,6229.82,5.98462
399,604,3992.22,3.44066
399,609,7844.24,1.14271
400,398,5275.68,2.32558
400,401,2158.68,4.24954
400,587,1214.27,5.51185
400,609,0,6.82031
401,400,4084.49,4.50143
401,402,0,1.75002
401,585,4301.17,1.80736
401,590,6671.18,2.31375
402,401,0,1.75002
403,398,5837.97,3.30241
403,404,7540.55,4.26584
403,606,1630.6,3.48301
403,611,2025.34,3.17918
404,403,6323.06,3.81807
404,405,8560.33,2.43989
404,675,1894.15,3.20835
404,680,7099.63,1.86333
405,404,7785.43,2.01251
405,406,2293.02,2.63425
405,488,6267.32,1.4221
406,405,3832.63,2.74848
406,407,3567.56,3.56071
406,677,2522.54,2.18279
406,682,3671.71,3.36279
407,406,4761.69,3.84042
407,408,5004.37,3.85696
407,687,3989.22,1.77922
407,692,6988.44,3.0633
408,407,5713,4.19866
408,409,2927.31,2.28482
408,689,1366.53,2.30358
408,694,3302.61,4.54747
409,408,3693.45,2.3435
409,410,3676.96,4.24562
409,538,4306.96,1.64773
409,539,7052.93,4.66065
410,409,5576.76,4.9855
410,411,3660.71,3.32792
410,690,1606.94,3.19377
410,700,3226.93,2.22351
411,410,4918.77,4.43119
411,412,3347.52,3.1902
411,685,3842.08,3.23343
411,695,3636.63,1.08653
412,411,4502.56,3.96908
412,413,3347.52,3.05252
413,412,4502.56,3.79717
413,414,2913.12,2.92095
413,730,2663.96,3.57567
413,734,2971.73,0.704586
414,413,4179.03,3.53112
414,415,545.58,4.27531
414,731,1275.29,3.42672
414,735,2842.16,0.600696
415,414,1156.13,4.28227
415,416,744.35,5.91794
415,727,435.23,4.96996
415,733,804.5,3.08151
416,415,1591.59,5.95257
416,417,681.28,5.37487
416,726,186.14,1.62182
416,732,60.47,5.43806
417,416,1442.75,5.39607
417,732,240.35,10.1679
417,913,575.77,3.57546
417,926,371,6.55093
418,419,3647.47,5.71413
418,921,805.94,3.96879
418,922,1202.37,5.03358
418,923,1517,9.40708
419,418,1794.27,5.50337
419,420,4493.74,5.10003
419,739,330.31,5.2083
419,743,256.091,1.50529
420,419,2129.29,4.68461
420,421,4941.21,3.87953
420,751,1217.98,2.68051
420,752,1508.47,1.73238
421,420,2247.81,3.42899
421,422,5482.39,4.42544
421,753,2252,1.22562
421,754,1025.13,2.96301
422,421,2251.28,3.68184
422,423,6578,4.61983
422,762,1339.01,1.31391
422,766,1071.18,4.44497
423,422,3045.15,3.28653
423,424,6291.61,4.84385
423,764,1979.83,2.0106
423,767,843.89,4.53023
424,423,3034.04,3.62372
424,425,6449.03,4.8068
424,773,1069.52,1.58243
424,777,1097.65,4.66321
425,424,3146.05,3.51053
425,426,7059.7,2.79085
425,775,1753.85,2.91142
425,779,2679.62,2.26481
426,425,4361.62,1.91996
426,427,4322.81,1.53563
426,441,4913.95,5.6706
427,426,4045.32,1.44533
427,428,3630.74,4.23764
427,594,4743.86,1.50503
427,779,1790.92,2.75468
428,427,2618.63,3.79419
428,429,1949.88,0.818551
428,431,5854.57,1.37143
429,428,3514.62,0.926248
429,430,0,0.654031
429,593,1678.17,2.43161
429,778,2493.04,2.87487
430,429,0,0.654031
431,428,3277.72,1.107
431,432,6678.07,5.32903
431,593,2696.5,1.33662
431,597,524.98,3.00727
432,431,5222.95,4.2775
432,433,6303.32,3.70783
432,595,1652.96,3.23527
432,599,3869.34,1.5016
433,432,5135.8,3.15266
433,434,6105.06,3.21398
433,616,4409.22,3.53564
433,617,1550.93,1.53073
434,433,5029.04,2.79124
434,435,5500.36,3.84863
434,618,1875.25,4.24797
434,619,7479.23,0.721975
435,434,5171.58,3.70127
435,436,6595.8,2.86356
435,552,5967.09,1.35514
435,554,3624.35,4.24848
436,435,6625.29,2.87926
436,437,7425.64,5.43772
436,496,14062.6,1.97009
437,436,7466.81,5.48798
437,438,6664.29,6.25186
437,554,5225.94,0.932438
437,556,2084.57,7.3923
438,437,6673.11,6.26226
438,439,4373.96,2.69867
438,535,4525.56,8.74161
438,536,6137.21,2.90279
438,540,5205.85,2.97363
439,438,5381.06,2.97078
439,440,5632.31,3.23377
439,614,4874.15,2.9912
439,615,6106.21,2.28321
440,439,6810.63,3.92914
440,441,4080.68,2.90265
440,612,2353.87,3.49333
440,613,2316.91,2.42239
441,426,2493.37,5.04081
441,440,5627.16,3.36052
441,591,4605.07,3.43089
441,596,8066.71,1.12525
442,443,665.75,3.74785
442,898,95.66,6.74134
442,899,116.37,2.843
442,929,653,7.62642
443,442,565.77,3.74752
443,444,956.98,4.63488
443,897,1037.8,4.95956
443,898,308.87,4.2198
444,443,859.14,4.63358
444,445,956.98,5.22137
445,444,859.14,5.2199
445,446,1392.96,6.56606
445,885,70.45,6.55948
445,886,269.21,1.11653
446,445,898.71,6.54655
446,447,1680.45,6.07758
446,858,245.11,2.46675
446,859,67.22,5.39979
447,446,957.03,6.03636
447,448,2083.25,4.22783
447,848,262.41,5.74255
447,849,622.211,1.95664
448,447,1130.42,4.15939
448,449,3369.33,3.50101
448,664,2045.25,2.93872
448,665,1137.76,1.19824
449,448,2083.15,3.41438
449,450,2995.08,2.11183
449,662,617.2,3.0193
449,663,1340.61,1.47998
450,449,1616.57,2.07648
450,451,2841.75,1.51493
450,453,2686.02,4.7792
450,508,2532.02,3.97827
451,450,1504.92,1.49416
451,452,3902.41,2.38138
451,654,1390.68,1.89189
451,655,1914.96,2.53711
452,451,2309.16,2.27491
452,525,5364.64,2.86744
452,652,3407.01,2.27474
452,654,3296.51,2.34221
453,450,3069.63,4.8194
453,454,2237.88,10.8928
453,650,643.216,4.08328
453,841,568.26,1.88018
454,453,2465.03,11.0144
454,455,2870.01,3.56901
454,838,541.729,2.00979
454,840,727.261,2.49939
455,454,2879.93,3.57206
455,456,3202.93,3.10118
455,833,1033.38,2.79152
455,835,570.389,2.89794
456,455,3096.98,3.06542
456,457,2679.24,3.20829
456,834,2088.78,2.09504
456,836,885.57,2.45563
457,456,2868.24,3.25559
457,458,2234.83,1.6007
457,829,541.53,3.81911
457,831,1353.5,1.10974
458,457,2625.43,1.63454
458,459,2125.13,1.49183
458,467,2250.52,5.52726
458,468,3107.69,3.30486
459,458,3057.42,1.51482
459,460,2047.33,4.94371
459,832,245.35,1.32099
459,845,20.62,7.86552
460,459,2886.97,5.18545
460,461,2009.18,6.674
460,872,355.21,6.0523
460,875,474.12,2.2541
461,460,2578.28,6.84966
461,462,1742.02,5.67151
461,874,618,2.45036
461,877,466.88,6.03008
462,461,2055.65,5.7181
462,873,13.37,3.58044
462,876,180.02,4.45975
462,927,1569,8.1362
463,464,1555,4.08932
463,928,1728,16.7684
464,463,1728,4.10129
464,465,1596.41,7.56914
464,883,80.16,4.03152
464,884,28.75,3.31447
465,464,1746.31,7.58936
465,466,1888.34,6.05307
465,862,213.35,4.67898
465,881,356.01,2.54177
466,465,1849.03,6.04718
466,467,2184.82,5.68081
466,855,319.47,1.75414
466,862,331.91,5.5589
467,458,2591.21,5.62767
467,466,1998.31,5.64437
467,845,392.499,2.17837
467,855,333.1,6.03197
468,458,2225.31,3.10488
468,469,3046,3.29863
468,829,393.74,1.39677
468,830,264.74,2.91032
469,468,2095.33,3.10363
469,470,3573.07,3.29254
469,819,1307.73,0.368234
469,824,532.9,4.15224
470,469,2435.54,2.94377
470,471,3812.42,5.15578
470,817,328.58,0.765815
470,822,237.58,3.48944
471,470,2298.57,4.40074
471,472,4691.69,4.46113
471,815,603.321,3.97063
471,816,1179.17,0.638464
472,471,2591.95,3.17864
472,473,6421.83,2.52651
472,813,1405.34,1.47489
472,815,1752.44,2.31662
473,472,2912.48,1.84243
473,474,2767.26,3.39504
473,475,5323.55,3.89799
473,707,744.559,4.74646
473,813,731.65,1.53168
474,473,1490.03,3.35341
474,538,4362.29,3.7282
474,701,1060.88,1.76502
474,706,3929.52,3.13043
475,473,2350.74,3.31017
475,476,5323.55,2.06498
475,706,1462.34,3.19486
475,707,750.321,1.78768
476,475,2530.62,1.75768
476,477,5224.65,4.50881
476,705,2096.78,2.15039
476,707,863.73,2.83893
477,476,2717.37,3.8939
477,478,8020.67,3.50172
477,503,4763.3,0.949787
477,504,5836.21,1.07755
478,477,6402.41,2.9791
478,479,9252.06,5.35574
478,633,4085.45,2.07606
478,703,3662,2.82186
479,478,7233.37,4.1061
479,480,8016.8,1.82509
479,629,3013.77,2.5334
479,693,4487.67,3.33062
480,479,7502.88,1.71843
480,481,3444.05,1.50937
480,483,6673.82,2.54087
480,484,5904.66,2.82345
480,486,6875.04,2.48689
481,480,3411.17,1.50758
481,482,0,0.55952
481,483,3540.96,1.73605
481,691,6329.71,2.8388
482,481,0,0.55952
483,480,6681.54,2.54457
483,481,2885.66,1.72372
483,539,4820.12,3.8845
483,693,8650,0.762499
484,480,5634,2.71711
484,485,6375.32,4.67211
484,627,6782.06,2.53428
484,629,536.57,3.71118
485,484,6090.38,4.45606
485,489,7360.37,4.63127
485,626,8015.96,2.33312
485,628,4502.67,2.99265
486,480,6656.95,2.44079
486,535,9877.72,0.532047
486,627,7424.06,2.87084
486,691,3254.6,2.46531
487,488,4406.26,2.98589
487,535,6176.03,4.76355
487,681,4009.92,2.07686
487,682,2840.07,3.46653
488,405,3952.8,1.10729
488,487,6399.48,3.81284
488,680,2724.78,3.6905
488,682,2438.49,3.1867
489,485,7289.62,4.56026
489,490,7624.14,1.40008
489,630,1844.34,2.78001
489,631,1666.75,4.33339
490,489,6446.7,1.25297
490,491,8186.83,3.69118
490,557,3301.65,3.7898
490,631,3127.49,3.93519
491,490,6829.94,3.18319
491,492,9107.82,4.58753
491,558,4801.51,3.43679
491,559,8431.17,0.884248
492,491,8406.12,4.137
492,493,5999.23,1.55884
492,561,4852.59,3.21705
492,562,8986.76,0.592551
493,492,4445.85,1.4547
493,494,8189.62,3.16311
493,497,7666.56,2.55951
493,562,9143.5,1.3129
493,564,16863.4,1.81906
494,493,8535.94,3.31567
494,495,10387.3,3.66142
494,561,4968.39,1.03609
494,563,10389.5,2.82539
495,494,12588.8,4.52698
495,496,10719.5,3.42771
495,551,3578.09,4.86881
495,560,5503.27,1.01839
496,436,14050.9,1.96707
496,495,11876.3,3.81928
496,553,5301.55,1.47762
496,556,4555.65,3.9343
497,493,9484.51,3.3155
497,498,7666.56,0.874743
498,497,9484.51,1.13194
498,499,4575.86,1.5313
498,533,6310.12,1.8736
499,498,5249.53,1.63453
499,500,5574.82,3.60258
499,567,9999.31,1.71682
499,569,6804.56,2.39254
500,499,7392.93,4.98033
500,501,5273.59,4.41243
500,566,5916.65,2.69759
500,570,4905,1.6748
501,500,6899.17,5.70526
501,502,3927.74,3.81702
501,571,2672.39,2.55581
501,636,6226.83,0.815474
502,501,5484.87,4.37573
502,503,4024.2,4.08848
502,632,2605.77,4.01701
502,634,1766.29,5.10102
503,477,3197.28,0.919448
503,502,5984.65,4.42036
503,504,2261.14,0.535489
503,633,4821.57,3.7402
504,477,6513.21,1.1286
504,503,6042.93,0.57796
504,505,5375.38,3.88539
504,635,5409.23,0.502524
505,504,7590.14,4.61805
505,506,5716,2.72643
505,634,5125.24,1.66996
505,639,2051.86,2.48066
506,505,8156.44,3.40938
506,507,4485.03,4.44389
506,639,1876.22,1.83986
506,644,4131.98,2.86772
507,506,5723.34,5.07269
507,508,3446.3,8.40906
507,578,2.84E-14,8.29626
507,646,2128.31,2.43892
508,450,2106.72,3.95875
508,507,4402.98,8.85191
508,509,5033.81,2.85706
509,508,5565.19,3.04049
509,510,6275.85,4.56586
509,659,4022.73,0.671068
509,667,1138.31,5.13851
510,509,6281.03,4.56985
510,511,5778.02,0.390011
510,658,3699.23,0.452577
510,666,669.95,4.1693
511,510,6056.54,0.406639
511,512,6178.52,3.06589
511,521,2588.03,3.2683
511,522,2446.4,4.91127
512,511,6293.11,3.12485
512,513,5501.54,4.68727
512,661,2119.68,0.733757
512,670,130.84,7.61688
513,512,6041.68,5.05994
513,514,4330.68,5.9537
513,902,3572.96,4.30043
513,905,1223.56,9.37636
514,513,4890.13,6.23421
514,515,3250.18,4.70976
514,903,2130.47,2.81208
514,905,661.98,11.5427
515,514,3612.69,4.77222
515,516,273.02,5.98151
515,534,2849.74,1.77595
515,544,699.94,0.30227
515,932,25,6.3477
516,515,326,5.98152
516,517,392.97,6.33368
516,903,2852.18,9.31718
516,906,1885.85,1.66716
517,516,989.89,6.33936
517,518,163.76,6.92765
517,908,486.05,2.61625
517,909,135.93,4.56254
518,517,357.84,6.92775
518,911,179.05,5.4051
518,912,68.97,1.72665
518,930,0,10.8542
519,520,0,0.77728
519,521,2529.23,2.84702
519,668,2574.41,0.917777
519,670,819.497,3.2817
520,519,0,0.77728
521,511,4378,3.50979
521,519,1503.17,2.82364
521,666,1243.68,0.620707
521,670,432.52,4.0432
522,511,820.36,4.87138
522,523,2446.4,7.60103
523,522,820.36,7.53898
523,530,6818.69,3.48511
523,545,4245.22,0.131794
524,525,2926.65,3.41483
524,545,4873.14,5.16683
524,578,2272.52,4.80024
524,647,3042.59,1.63429
525,452,3147.32,2.4609
525,524,5133.66,3.89787
525,652,1780.08,2.61888
525,657,2296.65,2.61628
526,527,3731.47,7.38943
526,528,6050.11,13.348
526,541,2144.91,0.466904
526,546,0,3.34753
527,526,3980.98,7.73361
527,542,25,0.674522
527,543,3755.47,4.90583
527,546,1213.9,4.37907
528,526,4056.71,10.8234
528,529,3606.71,1.50255
528,573,2856.49,5.98685
528,575,5713.48,1.4753
529,528,4938.02,1.55367
529,530,3612.59,2.15514
529,531,10904.6,2.71456
530,523,3879.06,2.44468
530,529,7297.91,2.61443
530,575,4716.48,3.16602
530,577,2959.61,2.89448
531,529,8550.61,1.813
531,532,9545.54,2.85725
531,573,1183.03,3.45648
531,574,2869.96,3.24004
532,531,8558.84,2.45013
532,533,8740.83,2.29953
532,569,4943.72,3.43112
532,574,1700.13,2.30284
533,498,7454.4,2.07685
533,532,7402.07,1.93978
533,568,4066.38,1.40225
533,569,1447.67,3.0173
534,515,2657.14,1.75004
534,543,3583.39,3.97379
534,933,5468,11.53
535,438,6041.93,9.36851
535,486,10095.9,0.553235
535,487,4441.46,4.39457
536,438,7248.14,3.58202
536,537,4936.32,3.80822
536,615,1815.71,1.74479
537,399,4619.19,4.90502
537,536,6270.8,4.54661
537,608,2072.88,3.42774
537,610,9081.28,1.73794
538,409,7208.72,2.47904
538,474,2347.72,3.46387
538,699,5988.86,0.499654
538,704,3997.72,4.35407
539,409,3017.51,3.0191
539,483,6584.97,4.95579
539,694,7348.5,1.09995
539,704,1831.07,4.97884
540,438,1580.28,1.75074
540,583,7136.81,3.28005
540,622,1514.4,1.84889
541,526,2674.9,0.480112
541,582,1157.89,5.91629
541,902,987.02,8.20013
542,527,774.217,0.674755
542,902,5991.3,4.36359
542,903,3373.53,6.31833
543,527,4469.66,5.70031
543,534,3021.79,3.70413
543,903,739.68,1.43669
544,515,1205.07,0.302811
544,903,1694.31,5.53197
544,904,1990.05,3.36301
545,523,5558.81,0.149939
545,524,2652.2,4.62109
545,577,3386.89,3.96174
545,580,3743.04,1.71671
546,526,1213.9,3.35454
546,527,0,4.36987
547,1,3529.15,0.0345068
547,548,2097.52,3.43037
547,549,4620.84,5.8008
547,621,3542.46,3.02795
548,2,4984.04,0.0345068
548,547,1714.76,3.36571
548,550,3556.66,5.9772
548,552,2359.7,4.84521
548,618,3991.43,3.64047
549,3,7826.03,0.0345068
549,547,3836.84,5.37294
549,550,3759.45,3.50022
549,551,7797.13,4.37485
550,4,7976.31,0.0345068
550,548,2828.05,5.94234
550,549,3536.95,3.46617
550,551,5992.77,5.71147
550,552,1791.96,8.65174
